timestamp,erraticism
192685286260000,0
192760000011000,0
192760636614000,0
192761272871000,0
192761909656000,0
192762505967000,0
192768569565000,0
192769256065000,0
192769927826000,0
192770569451000,0
192771190415000,0
192771906999000,0
192774007367000,0
192778952938000,0
192779349048000,0
192779821172000,0
192782792043000,0
192783423630000,0
192784064852000,0
192784676070000,0
192785332636000,0
192785989089000,0
192786631249000,0
192787522286000,0
192793671774000,0
192794458351000,0.618468
192795100063000,0.63087
192795812499000,0.655689
192796488341000,0.688471
192797134190000,0.722939
192805659824000,0.754286
192806380155000,0.729783
192807047094000,0.695806
192807778817000,0.662926
192809177139000,0.641604
192809843090000,0.609904
192812014227000,0.584881
192821586216000,0.563205
192891404137000,0.580048
192899517903000,0.599774
192900139402000,0.6188
192901543547000,0.651152
192902259496000,0.685069
192902915290000,0.720605
192905586782000,0.734963
192906232759000,0.714391
192906909670000,0.680788
192908749265000,0.641624
192909379744000,0.602538
192910011821000,0.563808
192911340903000,0.547046
192912016591000,0.529447
192914337694000,0.542591
192915008881000,0.558936
192915634542000,0.581946
192916236072000,0.607893
192916882366000,0.632803
192924500713000,0.651649
192925131139000,0.670829
192925818018000,0.688519
192926484496000,0.668345
192927162021000,0.634772
192928648984000,0.604995
192991152031000,0.57148
193003971577000,0.588091
193049158929000,0.623903
193165071930000,0.664025
193170213705000,0.627622
193265088947000,0.599699
193819226744000,0.561752
193833063785000,0.558551
193833669812000,0.566575
193834361370000,0.581942
193835058044000,0.588317
193835705306000,0.58598
193836351501000,0.583828
193836962186000,0.58642
193876403172000,0.559764
193877074733000,0.535579
193877751708000,0.541353
193878422767000,0.564611
193879044159000,0.576033
193879685842000,0.586234
193880268058000,0.608286
193880833857000,0.637296
193881389726000,0.606031
193881971164000,0.638808
193882552092000,0.671277
193883153882000,0.702222
193884637123000,0.719679
193885198634000,0.720459
193885975005000,0.717786
193886633113000,0.750606
193887248784000,0.739725
193887844466000,0.729553
193888395888000,0.745262
193888826785000,0.779128
193889553564000,0.799259
193890280865000,0.785104
193890961610000,0.745441
193891597948000,0.751742
193892204519000,0.754759
193892751121000,0.743995
193893353398000,0.732534
193893948728000,0.720721
193894459394000,0.69997
193894966016000,0.673685
193895567248000,0.642393
193896158883000,0.618122
193896710925000,0.58683
193897296278000,0.551864
193897857444000,0.518188
193898428949000,0.477039
193899010277000,0.435724
193899582689000,0.394353
193900153375000,0.351962
193900713952000,0.310222
193901280436000,0.268408
193901846841000,0.227385
193902418029000,0.186261
193903000324000,0.145428
193903591015000,0.104165
193904176654000,0.0626236
193904753406000,0.0205191
193905314937000,0
193905897478000,0
193906453063000,0
193907018695000,0
193907574601000,0
193908126447000,0
193908692765000,0
193909285028000,0
193909855562000,0
193910436312000,0
193911007905000,0
193911563913000,0
193912140438000,0
193912702624000,0
193913298196000,0
193913884440000,0
193914481025000,0
193915062072000,0
193915649391000,0
193916225291000,0
193916806039000,0
193917397466000,0
193917974016000,0
193918555058000,0
193919132556000,0
193919727751000,0
193920304227000,0
193920890585000,0
193921467167000,0
193922044688000,0
193922620055000,0
193923190554000,0
193923772309000,0
193924353449000,0
193924940027000,0
193925532163000,0
193926112826000,0
193926693752000,0
193927255332000,0
193927836649000,0
193928383968000,0
193928949829000,0
193929515335000,0
193930081918000,0
193930648155000,0.030232
193931234344000,0.0300632
193931816603000,0.02954
193932387372000,0.0290408
193932962858000,0.0283673
193933534881000,0.0280812
193934120972000,0.0283884
193934678567000,0.109735
193935274468000,0.110833
193935855029000,0.110827
193936416329000,0.110851
193936982790000,0.110301
193937543627000,0.110397
193938121398000,0.109283
193938691891000,0.108809
193939257631000,0.10786
193939839300000,0.108172
193940415419000,0.109535
193941583800000,0.112402
193942154612000,0.115022
193942735853000,0.117589
193943312374000,0.119042
193943893626000,0.119992
193944466231000,0.120129
193945046667000,0.0778777
193945602259000,0.0356434
193946178896000,0.0344648
193946735475000,0.0346817
193947301540000,0.0356077
193947878593000,0.0374662
193948464406000,0.037313
193949029677000,0.0799551
193949622135000,0.0380175
193950198237000,0.0367546
193950775150000,0.035882
193951351270000,0.0354109
193951911484000,0.0368938
193952493307000,0.0368407
193953059988000,0.0386178
193953656145000,0.0383624
193954238171000,0.037994
193954808929000,0.037303
193955384678000,0.037186
193955961424000,0.0368095
193956552813000,0.0358522
193957130054000,0.0367008
193957741091000,0.0367472
193958336682000,0.0384704
193958993364000,0.045217
193959634742000,0.0630238
193960236182000,0.0835504
193960833282000,0.10635
193961393959000,0.130329
193961990237000,0.154096
193962556346000,0.178671
193963152777000,0.164751
193963735153000,0.151774
193964330860000,0.179167
193964911446000,0.203423
193965508296000,0.223478
193966089758000,0.241764
193966666144000,0.252654
193967247748000,0.25746
193967823309000,0.254699
193968405083000,0.243597
193968976363000,0.226413
193969562407000,0.204298
193970139838000,0.181366
193970710525000,0.155627
193971280944000,0.123891
193971847936000,0.0860277
193972419225000,0.0472137
193973000588000,0.00918171
193973577607000,0
193974153101000,0
193974734428000,0
193975320300000,0
193975897121000,0
193976489663000,0
193977060050000,0
193977641125000,0
193978212455000,0
193978803802000,0
193979947086000,0
193980512900000,0
193981103577000,0
193981675390000,0
193982246629000,0
193982819255000,0
193983374849000,0
193983960526000,0
193984521950000,0.0310661
193985113159000,0.0310362
193986256804000,0.0312911
193986837564000,0.0309956
193987408060000,0.03126
193987989669000,0.0301943
193988556242000,0.0299702
193989123477000,0.0292708
193989689492000,0.0288173
193990254938000,0.0280475
193990826394000,0.0281064
193991407547000,0.0272463
193991974096000,0.0271089
193992541375000,0.0263938
193993102017000,0.0268526
193993682615000,0.0259544
193994249402000,0.0266682
193994835619000,0.0256488
193995969048000,0.024376
193996529568000,0.107373
193997110313000,0.107891
193997677157000,0.10854
193998248378000,0.109275
193998831201000,0.107305
193999386674000,0.0680431
193999977260000,0.0265048
194000548844000,0.0279968
194001140032000,0.0279308
194001711528000,0.028634
194002288594000,0.0280472
194002864287000,0.0285009
194003435029000,0.0288396
194004022097000,0.029055
194004593048000,0.0298217
194005180454000,0.0293481
194005746255000,0.0294681
194006317029000,0.0303359
194006898121000,0.0315737
194007484624000,0.0318173
194008055795000,0.0319042
194008633338000,0.0319
194009193810000,0.0316289
194009759470000,0.0323281
194010325955000,0
194010907491000,0
194011479095000,0
194012070867000,0
194012631548000,0
194013212692000,0
194013779167000,0
194014345238000,0
194014918034000,0
194015508539000,0
194016084115000,0
194016665750000,0
194017237040000,0
